Bahan Makanan,Kalori,Protein,Lemak,Karbohidrat,Kalsium,P,Fe,Persentase
Mangga harumanis,46,0.4,0.2,11.9,15.0,9,0.0,65
Manggis,63,0.6,0.6,15.6,8.0,12,1.0,29
Nanas,52,0.4,0.2,13.7,16.0,11,0.0,53
Nangka masak dipohon,106,1.2,0.3,27.6,20.0,19,1.0,28
Pepaya,46,0.5,0.0,12.2,23.0,12,2.0,75
Pisang ambon,99,1.2,0.2,25.8,8.0,28,1.0,75
Pisang raja,120,1.2,0.2,31.8,10.0,22,1.0,70
Rambutan,69,0.9,0.1,18.1,16.0,16,1.0,40
Salak,77,0.4,0.0,20.9,28.0,18,4.0,50
Salak pondoh,368,0.8,0.4,90.3,38.0,31,3.9,59
Sawo,92,0.5,1.1,22.4,25.0,12,1.0,79
Semangka,28,0.5,0.2,6.9,7.0,12,0.0,46
Sirsak,65,1.0,0.3,16.3,14.0,27,1.0,68
Srikaya,101,1.7,0.6,25.2,27.0,20,1.0,58
Keju,326,22.8,20.3,13.1,777.0,338,2.0,100
Susu kental manis,336,8.2,10.0,55.0,275.0,209,0.0,100
Susu sapi,61,3.2,3.5,4.3,143.0,60,2.0,100
Susu skim (susu tak berlemak),36,3.5,0.1,5.1,123.0,97,0.0,100
Yoghurt,52,3.3,2.5,4.0,120.0,90,0.0,100
Coklat manis ( batang ),472,2.0,29.8,62.7,63.0,287,3.0,100
Dodol,395,3.0,5.7,81.2,12.0,80,2.0,100
Lemon squash,36,0.0,0.0,10.0,0.0,0,0.0,100
Madu,294,0.3,0.0,79.5,5.0,16,1.0,100
Teh,132,19.5,0.7,67.8,717.0,265,12.0,100
Combro,105,0.8,3.3,17.9,3.2,0,1.2,100
Getuk singkong,204,0.5,1.4,47.4,97.0,52,1.5,100
Jagung rebus,105,2.6,1.1,21.1,2.9,0,0.7,100
Jenang,220,2.6,5.7,39.5,0.0,0,0.4,100
Keripik singkong,478,0.9,20.7,72.0,189.0,101,1.9,100
Ketupat tahu,274,7.4,6.5,46.6,0.2,0,0.8,100
Laksa,499,8.2,11.6,88.4,0.2,0,4.5,100
Lumpia,133,3.4,0.5,28.1,8.0,44,0.5,100
Martabak telur,200,8.9,5.1,29.5,0.1,0,1.9,100
Mi kuning goreng,476,0.1,21.1,71.3,57.0,36,4.8,100
Mie ayam,360,5.9,16.2,49.9,100.0,90,3.7,100
Nasi ,176,3.3,0.0,0.0,4.9,0,0.0,100
Nasi goreng,138,1.6,1.6,15.1,2.4,0,0.3,100
Nasi goreng+telur ,198,6.4,0.0,0.0,21.0,0,0.9,100
Nasi uduk,152,2.6,2.6,7.0,0.0,0,0.2,100
Onde-onde,101,2.9,3.1,15.5,0.0,0,1.6,100
Opak singkong,47,1.8,2.1,5.2,30.0,0,0.6,100
Pastel,208,5.2,15.4,31.4,0.0,0,0.1,100
Perkedel kentang,439,15.8,7.1,79.6,76.0,337,4.5,100
Risoles,134,2.1,1.4,28.2,2.7,0,0.6,100
Roti isi coklat,215,5.3,1.9,45.0,15.0,94,1.2,100
Roti isi kacang,217,6.0,0.2,45.7,15.0,74,1.0,100
Roti isi kelapa (manis),518,13.7,30.0,48.4,0.0,0,0.0,100
Serabi,245,6.0,5.0,43.9,22.0,20,2.6,100
Siomay,162,7.5,3.8,24.4,3.6,0,2.4,100
Soun,351,11.3,0.0,76.5,0.0,0,0.0,100
Supermi ,113,0.6,0.0,0.0,13.8,0,0.6,100
Supermi+telor ,166,6.8,0.0,0.0,34.0,0,1.8,100
Bubur kacang ijo,106,3.9,3.6,14.6,0.0,0,0.0,100
Kacang atom,533,27.8,38.1,28.8,87.0,423,3.0,100
Kacang telur,187,2.5,5.2,31.2,0.0,0,0.2,100
Kripik tempe goreng,542,40.3,42.4,11.5,175.0,0,5.2,100
Rempeyek kacang tanah,513,17.5,32.5,44.3,65.0,202,2.6,100
Tahu goreng ,115,9.7,8.5,2.5,229.0,200,4.1,100
Tempe goreng,82,4.6,5.8,3.2,37.4,0,2.6,100
Abon sapi,212,18.0,10.6,59.3,150.0,209,12.3,100
Ayam ras dada kentucky,298,34.2,16.8,0.1,90.0,284,5.5,100
Rawon,60,5.4,2.5,4.0,272.0,153,3.3,100
Rempelo ayam (goreng),270,32.3,11.2,9.9,0.0,0,0.0,100
Rendang,193,22.6,7.9,7.8,474.0,211,14.9,100
Sapi rendang,193,22.6,7.9,7.8,474.0,211,14.9,100
Sate ayam,227,41.3,6.1,1.8,17.0,405,2.2,100
Sate daging kambing,211,41.7,4.9,0.0,44.0,412,2.7,100
Sate daging lembu,219,38.9,6.7,0.8,8.0,391,3.6,100
Sate usus,19,2.1,1.1,0.2,2.1,0,0.2,100
Soto dengan daging,102,2.1,7.5,6.6,8.6,0,0.8,100
Soto tanpa daging,82,0.3,6.0,6.7,8.8,0,0.8,100
Usus ayam goreng,473,45.2,26.3,13.9,1407.0,458,8.4,100
Telur ayam dadar,251,16.3,19.4,1.4,62.0,250,2.5,100
Telur ceplok ,240,11.0,0.0,0.0,54.0,0,2.7,100
Telur puyuh,168,12.3,12.7,1.2,0.0,0,0.0,100
Telur rebus ,154,12.2,0.0,0.0,54.0,0,2.7,100
Bandeng presto,296,17.1,20.3,11.3,1422.0,659,1.9,100
Belut goreng,417,25.9,19.4,32.0,840.0,872,4.9,100
Cumi-cumi goreng,265,40.6,10.1,0.0,62.0,270,2.7,100
Empek kapal selam,190,13.2,6.6,19.4,500.0,155,1.5,100
Gurame asam manis,192,12.7,10.1,12.7,283.0,169,1.1,100
Ikan mas goreng ,182,18.1,0.0,0.0,20.0,0,2.0,100
Ikan tongkol (tuna),117,23.2,2.7,0.0,0.0,0,0.0,100
Kerupuk udang,17,0.7,1.5,2.6,14.9,0,0.1,100
